Final Size: 1320

Character: Times of appearance in text

이: 12407 의: 11296 다: 10315 에: 9654  는: 8034
하: 6961  국: 6732  로: 6612  가: 5958  인: 5778
서: 5553  고: 5493  대: 5485  지: 5434  기: 5330
을: 5326  일: 5236  한: 5185  어: 4807  년: 4669
은: 4648  주: 4535  아: 4515  사: 4348  스: 4170
리: 3839  도: 3828  정: 3790  으: 3745  시: 3688
부: 3568  를: 3516  민: 3392  자: 3281  제: 3253
라: 3017  있: 2878  나: 2835  공: 2807  화: 2744
과: 2693  월: 2637  수: 2615  들: 2588  전: 2545
문: 2441  위: 2418  중: 2334  교: 2294  해: 2249
회: 2219  장: 2212  원: 2203  보: 2200  되: 2145
소: 2131  미: 2099  적: 2032  조: 2025  동: 1946
르: 1914  었: 1912  유: 1910  선: 1886  니: 1842
트: 1837  계: 1826  그: 1801  구: 1725  만: 1700
세: 1697  관: 1679  여: 1678  성: 1638  당: 1601
상: 1581  개: 1576  했: 1571  경: 1526  프: 1511
산: 1472  비: 1465  와: 1459  오: 1447  영: 1427
며: 1418  방: 1383  바: 1364  통: 1360  독: 1356
명: 1352  신: 1345  마: 1339  용: 1317  러: 1306
연: 1271  크: 1250  였: 1229  게: 1215  우: 1211
등: 1200  역: 1199  드: 1176  내: 1168  모: 1147
치: 1130  터: 1116  발: 1077  면: 1061  후: 1050
분: 1046  재: 1000  키: 995   련: 987   군: 987
체: 970   타: 964   된: 957   함: 954   학: 941
진: 935   본: 917   레: 886   임: 881   거: 875
무: 873   법: 862   권: 858   단: 853   안: 835
차: 833   반: 833   표: 826   데: 824   요: 818
카: 816   강: 810   것: 809   음: 798   입: 795
호: 785   추: 785   식: 757   파: 753   란: 744
노: 742   확: 739   업: 736   언: 735   생: 733
남: 728   루: 724   북: 718   간: 710   포: 701
립: 685   실: 684   행: 683   종: 681   최: 665
외: 664   력: 662   합: 648   초: 647   토: 642
히: 632   할: 617   설: 615   운: 609   금: 609
네: 601   양: 592   현: 591   작: 590   럽: 587
총: 566   른: 563   족: 559   결: 558   각: 553
건: 553   책: 545   약: 536   령: 531   출: 526
집: 524   직: 521   평: 510   불: 510   메: 507
야: 507   속: 497   예: 495   편: 494   습: 494
따: 489   백: 485   두: 485   배: 484   던: 482
특: 475   까: 467   록: 466   말: 459   않: 458
랑: 457   투: 453   디: 444   때: 443   물: 442
애: 436   베: 432   려: 422   청: 419   코: 415
형: 414   쟁: 412   태: 412   많: 411   목: 409
혁: 408   석: 408   받: 404   판: 404   심: 402
없: 402   또: 401   준: 400   뉴: 396   처: 395
근: 386   티: 385   탄: 385   김: 378   존: 372
광: 372   항: 371   린: 370   변: 370   쪽: 369
래: 366   더: 365   점: 356   참: 354   복: 354
달: 354   열: 351   알: 348   같: 340   저: 337
론: 336   류: 334   았: 332   격: 332   버: 331
규: 324   덜: 323   브: 323   천: 321   매: 312
및: 306   향: 302   난: 302   헌: 300   황: 299
육: 296   급: 294   박: 293   완: 285   침: 284
엔: 281   람: 279   절: 276   활: 275   탈: 274
협: 267   피: 267   별: 260   질: 259   울: 258
졌: 256   올: 250   츠: 250   앙: 248   번: 244
철: 242   병: 241   글: 240   감: 238   십: 229
망: 229   증: 228   승: 226   즈: 226   채: 223
검: 222   악: 221   색: 220   온: 220   든: 219
술: 216   페: 213   순: 208   링: 207   슬: 207
름: 207   료: 206   쿠: 205   농: 204   날: 202
축: 201   새: 201   돌: 198   림: 195   테: 195
송: 194   살: 192   높: 190   담: 189   님: 187
택: 184   갈: 184   져: 182   환: 182   못: 182
창: 180   허: 179   왕: 177   웨: 177   움: 176
휴: 176   능: 175   찬: 174   벨: 173   칭: 171
폴: 171   취: 171   막: 171   흐: 171   랜: 170
엄: 169   패: 167   콘: 166   견: 164   논: 163
량: 158   율: 157   워: 157   접: 156   범: 153
징: 152   큰: 150   친: 150   품: 149   틴: 147
압: 146   벌: 145   괴: 144   륙: 143   슈: 142
봉: 142   억: 140   필: 140   극: 140   톨: 139
께: 138   누: 135   닌: 135   빌: 134   늘: 133
맹: 132   릭: 131   폐: 131   났: 129   삼: 129
둘: 128   밀: 128   폭: 128   락: 127   왔: 126
겨: 126   케: 125   측: 125   너: 125   섬: 125
착: 123   쓰: 122   곳: 122   념: 122   될: 121
률: 118   머: 116   힘: 116   쇄: 116   몰: 115
뒤: 114   커: 114   럼: 113   혹: 113   례: 113
찰: 111   험: 111   블: 110   느: 109   플: 109
앨: 107   맞: 106   충: 105   켰: 104   혼: 103
잔: 102   암: 101   획: 101   핵: 100   길: 99
쳐: 98    좌: 98    윤: 98    답: 98    욕: 97
렸: 97    갖: 97    죄: 96    균: 96    겠: 96
먼: 96    런: 96    센: 95    써: 95    붕: 95
