Final Size: 81

Character: Times of appearance in text

の: 72332   い: 49563   に: 45040   た: 44765   と: 41302
し: 40549   て: 39559   な: 38424   は: 37166   る: 34521
で: 30932   を: 30766   か: 29864   が: 28867   っ: 26176
う: 24525   も: 23881   ら: 22413   れ: 21386   ま: 18572
こ: 18363   あ: 17966   す: 17556   ん: 17042   り: 16594
だ: 14883   く: 14521   そ: 13998   さ: 10874   よ: 10400
つ: 9877    き: 9507    け: 8443    わ: 7951    ど: 7857
お: 7816    や: 7314    え: 7138    ち: 5933    め: 5644
ろ: 5236    せ: 5050    ば: 4747    じ: 4563    へ: 4205
み: 4057    ず: 3581    ゃ: 2756    ほ: 2739    ね: 2723
ょ: 2536    ふ: 1965    ひ: 1879    び: 1862    げ: 1821
む: 1770    ご: 1705    べ: 1674    ざ: 1298    ぶ: 1235
ぬ: 1233    ぐ: 1131    ぎ: 1114    ゆ: 909     ぼ: 883
ゐ: 812     ぜ: 780     ぞ: 712     づ: 704     ゅ: 533
ぱ: 423     ぽ: 279     ぴ: 173     ゝ: 155     ぷ: 124
ぺ: 116     ぢ: 51      ゑ: 20      ゞ: 14      ぇ: 14
ぁ: 1       
