Final Size: 4156

Character: Times of appearance in text

日: 9102    人: 8478    国: 6438    一: 6375    年: 5972
本: 5703    大: 4968    戦: 4888    出: 4434    中: 4391
月: 4366    事: 4361    分: 3873    見: 3720    自: 3535
軍: 3398    行: 3364    時: 3305    上: 3107    間: 3070
生: 2930    語: 2910    来: 2823    思: 2602    言: 2528
方: 2482    地: 2454    子: 2320    云: 2318    彼: 2258
何: 2237    合: 2232    主: 2218    書: 2169    第: 2168
気: 2143    立: 2128    前: 2055    者: 2054    私: 2048
後: 2042    部: 2031    君: 2004    心: 2002    文: 1998
世: 1953    二: 1951    手: 1899    的: 1853    女: 1852
下: 1846    作: 1832    連: 1813    学: 1794    小: 1724
海: 1683    知: 1669    今: 1658    民: 1624    無: 1614
同: 1597    東: 1559    三: 1529    家: 1528    目: 1518
物: 1493    意: 1491    入: 1485    北: 1480    会: 1471
島: 1452    不: 1396    法: 1395    動: 1389    所: 1386
持: 1381    対: 1380    代: 1344    市: 1339    空: 1335
山: 1327    新: 1321    定: 1313    聞: 1312    政: 1296
発: 1282    実: 1275    明: 1272    関: 1269    口: 1263
用: 1259    英: 1250    通: 1246    十: 1239    名: 1236
話: 1225    御: 1222    次: 1207    度: 1196    理: 1196
平: 1194    相: 1182    道: 1174    開: 1173    面: 1169
内: 1164    以: 1155    成: 1152    外: 1136    神: 1134
力: 1125    多: 1105    全: 1104    天: 1103    和: 1097
当: 1086    化: 1080    少: 1076    考: 1073    州: 1071
体: 1059    界: 1052    長: 1051    場: 1050    先: 1043
領: 1042    高: 1036    社: 1017    表: 1017    記: 1009
水: 992     現: 976     争: 960     要: 959     攻: 951
結: 942     最: 939     太: 931     九: 920     機: 904
男: 900     撃: 893     然: 885     近: 876     版: 874
向: 869     経: 867     切: 864     真: 863     死: 862
史: 856     在: 851     教: 851     金: 850     正: 843
白: 843     治: 837     進: 829     感: 825     食: 817
区: 817     問: 816     四: 805     身: 804     西: 804
議: 803     説: 786     受: 786     取: 784     別: 783
顔: 782     南: 780     参: 779     田: 778     陸: 777
引: 762     決: 761     味: 758     性: 757     隊: 744
使: 742     屋: 742     得: 739     校: 738     業: 729
数: 728     交: 724     始: 719     足: 717     頭: 715
紀: 713     情: 711     公: 711     論: 710     返: 706
義: 705     制: 704     際: 704     約: 699     違: 697
苦: 691     変: 691     解: 689     有: 685     利: 672
木: 669     土: 666     五: 664     府: 663     万: 660
古: 654     権: 654     線: 654     形: 652     原: 647
笑: 646     他: 644     起: 643     付: 641     落: 637
声: 634     号: 630     皇: 630     好: 628     風: 627
諸: 627     等: 624     吾: 620     点: 619     強: 617
初: 612     様: 606     直: 604     信: 601     共: 597
眼: 597     王: 594     込: 593     命: 591     朝: 590
存: 590     細: 590     野: 588     支: 588     洋: 586
