Final Size: 89

Character: Times of appearance in text

ー: 9153    ン: 7982    イ: 5862    リ: 5752    ル: 5493
ア: 5455    ス: 4828    ・: 4382    ラ: 3488    ト: 3240
ド: 3118    フ: 3037    ヴ: 2709    シ: 2552    カ: 2464
ロ: 2226    ツ: 2041    チ: 2010    ク: 1909    マ: 1852
ィ: 1842    ッ: 1815    タ: 1698    ェ: 1658    ニ: 1634
パ: 1599    ジ: 1553    レ: 1492    メ: 1433    オ: 1417
ャ: 1285    ナ: 1256    ウ: 1096    ノ: 1094    テ: 1073
コ: 1027    ポ: 1011    ソ: 997     ギ: 993     キ: 971
エ: 925     ブ: 904     バ: 891     ハ: 875     サ: 846
ム: 839     ダ: 799     ペ: 744     プ: 735     ガ: 724
デ: 703     ュ: 703     ビ: 696     ベ: 668     モ: 631
セ: 623     グ: 578     ァ: 576     ワ: 545     ネ: 497
ヤ: 488     ボ: 453     ミ: 451     ズ: 445     ピ: 400
ケ: 389     ゴ: 367     ヌ: 363     ホ: 352     ヒ: 337
ョ: 319     ヨ: 316     ザ: 302     ォ: 255     ユ: 241
ヘ: 222     ゲ: 221     ゼ: 132     ヂ: 103     ゾ: 94
ヲ: 84      ヶ: 46      ゥ: 45      ヅ: 27      ヵ: 10
ヰ: 7       ヱ: 2       ヾ: 1       ヽ: 1       
