Final Size: 1081

이: 5197  의: 4549  다: 4492  에: 4030  국: 3419  는: 3292  하: 2832  로: 2732  인: 2556  서: 2333  가: 2322  지: 2207  은: 2190  고: 2182  대: 2159  주: 2144  한: 2116  을: 2064  기: 1997  어: 1978
년: 1922  일: 1841  도: 1831  시: 1795  부: 1781  민: 1719  사: 1687  으: 1619  리: 1567  있: 1480  화: 1465  를: 1459  정: 1370  스: 1329  공: 1325  제: 1320  아: 1258  중: 1255  과: 1228  산: 1207
들: 1202  전: 1115  수: 1101  문: 1078  나: 1067  자: 1052  조: 1037  영: 996   선: 995   해: 989   되: 978   구: 975   동: 961   월: 928   미: 915   라: 876   적: 854   장: 854   교: 824   계: 814
경: 812   원: 799   역: 767   여: 751   었: 749   드: 745   와: 745   보: 726   위: 715   관: 709   개: 706   유: 692   상: 679   성: 665   세: 659   만: 653   며: 652   그: 607   용: 602   회: 571
소: 559   명: 558   였: 556   강: 555   니: 542   포: 541   방: 540   비: 538   북: 532   통: 531   등: 501   치: 492   발: 492   연: 468   랜: 467   게: 464   업: 453   단: 449   면: 444   오: 443
후: 439   러: 434   함: 431   학: 429   남: 427   음: 421   트: 419   했: 418   내: 410   당: 409   재: 409   된: 408   신: 402   분: 400   본: 392   금: 391   군: 387   체: 387   글: 383   모: 377
식: 374   터: 374   거: 373   운: 365   진: 355   양: 352   데: 352   마: 346   광: 345   안: 335   프: 334   확: 332   현: 332   우: 331   외: 330   무: 330   반: 321   요: 319   호: 311   차: 307
토: 306   평: 302   잉: 299   입: 298   실: 294   법: 292   종: 292   최: 291   언: 288   생: 288   크: 284   카: 281   르: 280   행: 280   표: 278   권: 274   설: 273   것: 268   래: 266   노: 259
할: 258   항: 255   많: 254   합: 249   임: 247   히: 242   천: 241   간: 241   김: 239   건: 238   력: 237   코: 232   바: 231   속: 231   파: 227   타: 227   레: 225   작: 223   각: 220   립: 218
키: 217   독: 215   물: 213   결: 211   달: 208   초: 203   직: 203   약: 202   예: 201   른: 198   웨: 198   캘: 197   백: 195   브: 192   태: 192   특: 191   려: 190   청: 186   책: 185   출: 185
까: 184   또: 183   편: 180   매: 178   족: 176   따: 176   버: 175   근: 174   심: 174   때: 173   목: 172   점: 171   두: 169   령: 167   존: 164   집: 163   류: 161   란: 160   같: 158   던: 157
육: 157   루: 156   철: 155   티: 154   준: 153   디: 153   배: 152   불: 152   뉴: 150   추: 149   야: 149   록: 149   참: 148   급: 148   쟁: 147   총: 146   석: 146   메: 145   형: 139   격: 139
련: 138   았: 136   말: 135   처: 135   활: 133   않: 133   품: 131   향: 130   받: 127   저: 124   혁: 124   및: 124   랑: 121   페: 120   알: 120   베: 119   쪽: 117   더: 116   농: 115   람: 114
악: 114   열: 113   난: 113   없: 112   술: 111   네: 111   병: 111   절: 110   온: 109   왕: 109   변: 108   규: 108   승: 108   감: 107   복: 106   피: 105   협: 105   박: 104   질: 103   헌: 103
판: 103   증: 102   럽: 100   습: 100   환: 98    축: 97    쿠: 97    졌: 96    탄: 96    린: 96    량: 96    송: 93    투: 92    료: 91    새: 91    럼: 91    높: 91    황: 89    샌: 88    징: 87
워: 87    능: 86    칭: 86    론: 86    섬: 84    틀: 83    망: 83    십: 82    져: 82    순: 81    번: 81    억: 80    침: 80    별: 80    색: 78    착: 78    살: 78    링: 77    삼: 77    날: 76
접: 76    완: 76    곳: 75    왔: 75    름: 74    허: 74    담: 73    채: 73    패: 72    택: 72    즈: 72    울: 72    애: 72    폐: 71    륙: 71    큰: 70    앙: 69    창: 68    든: 68    봉: 68
늘: 67    막: 67    벌: 66    옥: 66    림: 65    캐: 62    컬: 62    폭: 61    범: 60    쓰: 60    널: 60    욕: 60    획: 60    필: 59    턴: 59    멕: 59    검: 58    올: 58    핵: 58    갈: 58
슨: 57    께: 57    맥: 57    겨: 57    츠: 57    율: 55    험: 55    앤: 55    튼: 54    암: 53    플: 51    락: 51    극: 51    견: 51    측: 49    테: 49    객: 48    골: 47    탈: 46    략: 45
머: 45    밀: 45    퍼: 44    취: 44    될: 44    났: 44    맹: 44    풍: 44    젤: 44    쳐: 43    뒤: 43    압: 43    너: 43    잡: 42    움: 42    층: 42    클: 42    찾: 41    홍: 41    먼: 41
념: 41    센: 40    엔: 40    런: 40    커: 40    몇: 40    누: 39    길: 39    폴: 39    균: 39    찰: 38    괴: 38    률: 38    친: 37    걸: 37    케: 37    혹: 37    놓: 37    충: 37    득: 37
뜻: 36    엄: 36    둘: 35    끝: 35    곡: 35    켰: 35    돌: 35    넘: 34    홈: 34    밴: 34    찬: 33    맞: 33    첫: 33    얼: 33    휴: 33    밖: 32    못: 32    볼: 32    롯: 32    논: 32
릭: 32    혼: 32    둥: 32    갖: 31    례: 31    줄: 31    싱: 31    킨: 31    퇴: 31    텔: 31    렸: 31    칼: 31    느: 30    돈: 30    긴: 30    쇄: 30    째: 30    멘: 30    핑: 30    뿐: 29
덴: 29    탕: 29    갔: 29    즉: 29    콩: 29    빈: 29    척: 29    흥: 29    덕: 29    칙: 28    슬: 28    닌: 28    몬: 28    앵: 27    덜: 27    몽: 27    손: 27    융: 27    틴: 26    써: 26
읽: 26    흑: 26    몰: 26    톨: 26    액: 25    묘: 25    블: 25    궁: 25    효: 25    탐: 25    녀: 24    좋: 24    푸: 24    끌: 24    낮: 24    션: 24    낙: 24    밸: 24    닉: 23    앞: 23
므: 23    엘: 23    웠: 23    맺: 22    귀: 22    빠: 22    템: 22    응: 22    깨: 22    쩌: 22    벨: 21    낸: 21    밝: 21    탁: 21    멸: 21    컴: 20    핀: 20    희: 20    팔: 20    뀜: 20
칠: 20    냉: 20    넓: 19    욱: 19    칸: 19    잘: 19    겼: 19    굴: 19    좌: 19    컨: 19    픽: 19    휘: 18    떤: 18    숙: 18    윤: 18    힘: 18    촉: 18    즘: 18    값: 18    훈: 18
둔: 18    얻: 18    콜: 18    빅: 18    렀: 17    델: 17    콘: 17    뮤: 17    옛: 17    샤: 17    넷: 17    킹: 16    흔: 16    익: 16    씨: 16    젝: 16    냈: 16    옷: 16    촌: 16    죽: 16
빌: 15    잇: 15    섭: 15    뉜: 15    웃: 15    춘: 15    왜: 15    읍: 15    킬: 15    땅: 14    끼: 14    곧: 14    쳤: 14    켜: 14    랭: 14    웹: 14    떨: 14    붕: 14    퓨: 13    됨: 13
렇: 13    켈: 13    혀: 13    솔: 13    폰: 13    싸: 13    죄: 13    팀: 13    롱: 13    납: 13    큼: 13    돼: 13    먹: 13    즐: 13    엽: 13    곤: 13    덩: 13    윌: 12    슈: 12    봄: 12
랐: 12    잃: 12    쇠: 12    릉: 12    풀: 12    됐: 12    댐: 12    혔: 12    녹: 12    쇼: 12    룡: 12    벽: 12    염: 12    릴: 12    답: 11    슷: 11    믿: 11    롤: 11    옹: 11    뤄: 11
갑: 11    혈: 11    컵: 11    럴: 11    붙: 11    쌀: 11    눈: 11    캠: 11    꽃: 11    벡: 11    촬: 11    렵: 10    냐: 10    맨: 10    씩: 10    님: 10    웰: 10    셔: 10    떠: 10    냥: 10
텀: 10    첨: 10    밍: 10    펼: 10    겪: 9     팽: 9     털: 9     뉘: 9     뀌: 9     듣: 9     펜: 9     쉬: 9     흐: 9     렉: 9     뢰: 9     퀘: 9     옮: 9     괄: 9     숨: 8     깊: 8
잠: 8     됩: 8     릿: 8     덮: 8     뛰: 8     탑: 8     슴: 8     닷: 8     낭: 8     꾸: 8     즌: 8     짜: 8     잔: 8     홀: 7     굳: 7     짓: 7     깝: 7     훔: 7     겠: 7     룬: 7
롭: 7     톤: 7     윈: 7     벤: 7     뻗: 7     렬: 7     삭: 7     펴: 7     쉽: 7     궈: 7     튜: 7     쓴: 7     썼: 7     낌: 7     렌: 7     숭: 7     듬: 7     곽: 7     룩: 7     꾼: 7
뱅: 7     찍: 7     훼: 7     낱: 6     짐: 6     캄: 6     웅: 6     럭: 6     듭: 6     훨: 6     씬: 6     랙: 6     끈: 6     듯: 6     헨: 6     섞: 6     괌: 6     잎: 6     앨: 6     텍: 6
멀: 6     숲: 6     햄: 6     촨: 6     섯: 5     짝: 5     젊: 5     묵: 5     짧: 5     셰: 5     졸: 5     벗: 5     싼: 5     힌: 5     랫: 5     헝: 5     켄: 5     붐: 5     빼: 5     쾌: 5
엣: 5     밑: 5     춰: 5     뒷: 5     빛: 5     맡: 5     콤: 5     춤: 5     갤: 5     꼴: 5     끊: 5     톈: 5     곱: 5     흙: 5     멍: 5     끄: 5     팅: 5     닫: 5     쁜: 5     흘: 5
헥: 5     흡: 5     댜: 5     띠: 4     셜: 4     첩: 4     빙: 4     끔: 4     켓: 4     늄: 4     틱: 4     꼽: 4     섰: 4     몸: 4     깃: 4     돋: 4     벼: 4     빚: 4     셀: 4     톰: 4
앗: 4     큐: 4     옌: 4     닐: 4     얀: 4     빨: 4     빗: 4     낳: 4     샬: 4     딸: 4     컷: 4     겸: 4     엑: 4     댈: 4     탬: 4     렘: 4     램: 4     펑: 4     팝: 4     맛: 4
젠: 4     갱: 4     꺽: 4     캔: 3     늦: 3     깎: 3     딘: 3     덤: 3     퀸: 3     멤: 3     꽤: 3     걷: 3     떼: 3     얄: 3     숫: 3     눠: 3     꾀: 3     넣: 3     볍: 3     톡: 3
킷: 3     얇: 3     겐: 3     밋: 3     흰: 3     깔: 3     렴: 3     뷰: 3     닛: 3     맵: 3     왈: 3     쏟: 3     륜: 3     꿈: 3     닥: 3     밥: 3     곰: 3     ㆍ: 3     뭄: 3     봐: 3
픈: 3     뼈: 3     헤: 3     놀: 3     탠: 3     굉: 3     멜: 3     혐: 3     띄: 3     뿌: 3     듀: 3     잭: 3     엇: 3     긍: 3     룹: 3     묶: 3     랴: 3     쑨: 3     갇: 3     쯔: 3
혜: 3     늑: 3     꿔: 3     죤: 3     앱: 3     뎀: 3     삐: 3     슐: 2     딕: 2     껏: 2     ㅣ: 2     뚜: 2     렷: 2     묻: 2     셸: 2     텐: 2     뀐: 2     뽑: 2     닝: 2     헬: 2
킴: 2     갚: 2     댓: 2     엿: 2     껴: 2     덧: 2     좀: 2     걱: 2     펀: 2     핫: 2     튀: 2     줌: 2     삶: 2     룸: 2     눌: 2     옆: 2     떡: 2     빔: 2     썸: 2     쿄: 2
콕: 2     엠: 2     랍: 2     샘: 2     뭇: 2     슘: 2     솟: 2     잣: 2     웬: 2     펠: 2     힐: 2     뿔: 2     엮: 2     쿼: 2     곶: 2     꺼: 2     칩: 2     젖: 2     걀: 2     꿀: 2
랄: 2     넙: 2     컫: 2     딜: 2     훌: 2     륭: 2     펄: 2     럿: 2     츰: 2     싶: 2     셴: 2     콥: 2     돗: 2     봤: 2     쿡: 2     뻔: 2     횡: 2     롬: 2     쌓: 2     룽: 2
쑤: 2     뤼: 2     퉁: 2     좡: 2     롄: 2     늬: 2     녔: 2     뇌: 2     탓: 2     띈: 2     굶: 2     턱: 2     떻: 2     뻐: 2     엉: 1     벳: 1     쉘: 1     톱: 1     렝: 1     왓: 1
뚠: 1     앉: 1     챔: 1     핍: 1     탱: 1     낡: 1     젯: 1     룰: 1     떴: 1     줘: 1     핏: 1     겉: 1     뿜: 1     텁: 1     칫: 1     딩: 1     땠: 1     쉴: 1     깜: 1     쌍: 1
깐: 1     멋: 1     솥: 1     닮: 1     쾨: 1     뺀: 1     깡: 1     얏: 1     횟: 1     찹: 1     넌: 1     팰: 1     뤘: 1     괘: 1     삿: 1     콰: 1     슝: 1     찌: 1     놈: 1     낀: 1
싹: 1     륵: 1     솜: 1     륨: 1     슭: 1     씻: 1     푄: 1     쭉: 1     낚: 1     껍: 1     븐: 1     홉: 1     렐: 1     넉: 1     렛: 1     튤: 1     닿: 1     뮐: 1     핼: 1     샐: 1
뎠: 1     찔: 1     쏘: 1     맬: 1     팩: 1     샨: 1     옐: 1     햇: 1     폼: 1     낼: 1     씀: 1     셨: 1     녕: 1     셈: 1     싯: 1     냄: 1     힙: 1     콧: 1     랠: 1     랩: 1
죠: 1     뜸: 1     숍: 1     튿: 1     잊: 1     짙: 1     딴: 1     흩: 1     넬: 1     퀴: 1     쥔: 1     뜨: 1     쫒: 1     끓: 1     곪: 1     줬: 1     닭: 1     밭: 1     쑹: 1     쉰: 1
